n,k,metric_type,vortex_type,lattice_vec_0,lattice_vec_1,lattice_vec_2,lattice_vec_3,vortex_0,vortex_1,vortex_2,vortex_3,distance,logical_error_rate,error_bar,shots,errors,p_phenomenological
24,4,distance,arbitrary,"[0, 3, 0, 0]","[2, 1, 0, 0]","[0, 2, -1, 0]","[1, 1, 0, -1]",0,0,0,0,2,0.0325076125421776,0.003304023160557508,12151,395,0.0
24,4,distance,zero_vortex,"[0, 3, 0, 0]","[2, 1, 0, 0]","[0, 2, -1, 0]","[1, 1, 0, -1]",0,0,0,0,2,0.0325076125421776,0.003304023160557508,12151,395,0.0
24,4,error_rate,arbitrary,"[0, 6, 0, 0]","[1, 2, 0, 0]","[0, 2, -1, 0]","[0, 5, 0, -1]",0,1,0,0,2,0.01576265789194353,0.001879778364799134,18842,297,0.0
24,4,error_rate,zero_vortex,"[0, 6, 0, 0]","[1, 2, 0, 0]","[0, 2, -1, 0]","[0, 5, 0, -1]",0,0,0,0,2,0.01629338711389449,0.001908822995437317,18842,307,0.0
27,6,distance,arbitrary,"[0, 7, 0, 0]","[1, 1, 0, 0]","[0, 2, -1, 0]","[0, 3, 0, -1]",0,0,0,0,2,0.019012253991830673,0.0024476904476824594,13465,256,0.0
27,6,distance,zero_vortex,"[0, 7, 0, 0]","[1, 1, 0, 0]","[0, 2, -1, 0]","[0, 3, 0, -1]",0,0,0,0,2,0.019012253991830673,0.0024476904476824594,13465,256,0.0
27,6,error_rate,arbitrary,"[0, 7, 0, 0]","[1, 5, 0, 0]","[0, 3, -1, 0]","[0, 5, 0, -1]",0,0,0,0,2,0.015941404566996983,0.0016933212480538147,23210,370,0.0
27,6,error_rate,zero_vortex,"[0, 7, 0, 0]","[1, 5, 0, 0]","[0, 3, -1, 0]","[0, 5, 0, -1]",0,0,0,0,2,0.015941404566996983,0.0016933212480538147,23210,370,0.0
36,4,distance,arbitrary,"[0, 3, 0, 0]","[3, 0, 0, 0]","[0, 1, -1, 0]","[2, 1, 0, -1]",0,0,0,0,3,0.002633042833302429,0.0004693707010381956,53930,142,0.0
36,4,distance,zero_vortex,"[0, 3, 0, 0]","[3, 0, 0, 0]","[0, 1, -1, 0]","[2, 1, 0, -1]",0,0,0,0,3,0.002633042833302429,0.0004693707010381956,53930,142,0.0
36,4,error_rate,arbitrary,"[0, 3, 0, 0]","[3, 0, 0, 0]","[1, 2, -1, 0]","[1, 0, 0, -1]",0,0,0,0,3,0.0016095365037849256,0.00030371912927159694,79526,128,0.0
36,4,error_rate,zero_vortex,"[0, 3, 0, 0]","[3, 0, 0, 0]","[1, 2, -1, 0]","[1, 0, 0, -1]",0,0,0,0,3,0.0016095365037849256,0.00030371912927159694,79526,128,0.0
36,8,distance,arbitrary,"[0, 3, 0, 0]","[3, 0, 0, 0]","[2, 0, -1, 0]","[0, 2, 0, -1]",0,0,0,0,2,0.07446009389671361,0.005140771041589581,10650,793,0.0
36,8,distance,zero_vortex,"[0, 3, 0, 0]","[3, 0, 0, 0]","[2, 0, -1, 0]","[0, 2, 0, -1]",0,0,0,0,2,0.07446009389671361,0.005140771041589581,10650,793,0.0
36,8,error_rate,arbitrary,"[0, 3, 0, 0]","[3, 0, 0, 0]","[2, 0, -1, 0]","[0, 2, 0, -1]",0,1,0,0,2,0.06962972197980302,0.004042605185751863,16042,1117,0.0
36,8,error_rate,zero_vortex,"[0, 3, 0, 0]","[3, 0, 0, 0]","[2, 0, -1, 0]","[0, 2, 0, -1]",0,0,0,0,2,0.07446009389671361,0.005140771041589581,10650,793,0.0
