lattice_vec_0,lattice_vec_1,lattice_vec_2,lattice_vec_3,vortex_0,vortex_1,vortex_2,vortex_3,n,k,distance,logical_error_rate,error_bar,shots,errors,p_phenomenological
"[0, 3, 0, 0]","[2, 1, 0, 0]","[0, 2, -1, 0]","[0, 2, 0, -1]",0,0,0,0,24,4,1,0.062075471698113206,0.004754096024922556,10600,658,0.0
"[0, 3, 0, 0]","[2, 1, 0, 0]","[0, 2, -1, 0]","[1, 1, 0, -1]",0,0,0,0,24,4,2,0.0325076125421776,0.003304023160557508,12151,395,0.0
"[0, 3, 0, 0]","[2, 1, 0, 0]","[1, 1, -1, 0]","[0, 2, 0, -1]",0,0,0,0,24,4,2,0.04493457328614929,0.003829519206203391,12151,546,0.0
"[0, 3, 0, 0]","[2, 1, 0, 0]","[1, 1, -1, 0]","[1, 1, 0, -1]",0,0,0,0,24,4,2,0.019584947720397008,0.0020788113327923456,18841,369,0.0
"[0, 3, 0, 0]","[2, 1, 0, 0]","[1, 1, -1, 0]","[1, 1, 0, -1]",-1,0,0,0,24,4,2,0.028272927998276697,0.002483393248576257,18569,525,0.0
"[0, 3, 0, 0]","[2, 2, 0, 0]","[0, 1, -1, 0]","[0, 2, 0, -1]",0,0,0,0,24,4,1,0.059224694903086864,0.0045363503363059915,11144,660,0.0
"[0, 3, 0, 0]","[2, 2, 0, 0]","[0, 1, -1, 0]","[1, 3, 0, -1]",0,0,0,0,24,4,2,0.04949121184088807,0.005550336007521729,6486,321,0.0
"[0, 3, 0, 0]","[2, 2, 0, 0]","[1, 2, -1, 0]","[0, 2, 0, -1]",0,0,0,0,24,4,2,0.04760908234801716,0.0031107594368331992,19114,910,0.0
"[0, 3, 0, 0]","[2, 2, 0, 0]","[1, 2, -1, 0]","[1, 3, 0, -1]",0,0,0,0,24,4,2,0.021293732695695948,0.0021020339619209107,19865,423,0.0
"[0, 6, 0, 0]","[1, 1, 0, 0]","[0, 1, -1, 0]","[0, 2, 0, -1]",0,0,0,0,24,4,2,0.020953757225433526,0.0023989964067935646,15224,319,0.0
"[0, 6, 0, 0]","[1, 1, 0, 0]","[0, 1, -1, 0]","[0, 2, 0, -1]",0,-1,0,0,24,4,2,0.021389522849105672,0.0021655603558038937,18841,403,0.0
"[0, 6, 0, 0]","[1, 1, 0, 0]","[0, 1, -1, 0]","[0, 2, 0, -1]",0,1,0,0,24,4,2,0.02223755439974525,0.002204913420580698,18842,419,0.0
