lattice_vec_0,lattice_vec_1,lattice_vec_2,lattice_vec_3,vortex_0,vortex_1,vortex_2,vortex_3,n,k,distance,logical_error_rate,error_bar,shots,errors,p_phenomenological
"[0, 3, 0, 0]","[2, 1, 0, 0]","[0, 2, -1, 0]","[0, 2, 0, -1]",0,0,0,0,24,4,1,0.06927846167670051,0.004867928241694727,11129,771,0.0
"[0, 3, 0, 0]","[2, 1, 0, 0]","[0, 2, -1, 0]","[0, 2, 0, -1]",0,-1,0,0,24,4,1,0.06361492410957248,0.0038222260495333477,16537,1052,0.0
"[0, 3, 0, 0]","[2, 1, 0, 0]","[0, 2, -1, 0]","[0, 2, 0, -1]",0,1,0,0,24,4,1,0.05447570332480819,0.007561105821529586,3910,213,0.0
"[0, 3, 0, 0]","[2, 1, 0, 0]","[0, 2, -1, 0]","[0, 2, 0, -1]",-1,0,0,0,24,4,1,0.05962897526501767,0.0058844930164245815,6792,405,0.0
"[0, 3, 0, 0]","[2, 1, 0, 0]","[0, 2, -1, 0]","[0, 2, 0, -1]",-1,-1,0,0,24,4,1,0.06905656545140652,0.005177946076412754,9847,680,0.0
"[0, 3, 0, 0]","[2, 1, 0, 0]","[0, 2, -1, 0]","[0, 2, 0, -1]",-1,1,0,0,24,4,1,0.0720195307201953,0.004285077981006136,14746,1062,0.0
"[0, 3, 0, 0]","[2, 1, 0, 0]","[0, 2, -1, 0]","[0, 2, 0, -1]",1,-1,0,0,24,4,1,0.057629926150873076,0.003913216312565929,14489,835,0.0
"[0, 3, 0, 0]","[2, 1, 0, 0]","[0, 2, -1, 0]","[0, 2, 0, -1]",1,1,0,0,24,4,1,0.059147830196109315,0.004238211649755415,12697,751,0.0
"[0, 3, 0, 0]","[2, 1, 0, 0]","[0, 2, -1, 0]","[1, 1, 0, -1]",0,0,0,0,24,4,2,0.06545454545454546,0.0051165499575285545,9625,630,0.0
"[0, 3, 0, 0]","[2, 1, 0, 0]","[0, 2, -1, 0]","[1, 1, 0, -1]",-1,0,0,0,24,4,2,0.04892966360856269,0.005648425283710505,6213,304,0.0
"[0, 3, 0, 0]","[2, 1, 0, 0]","[0, 2, -1, 0]","[1, 1, 0, -1]",-1,-1,0,0,24,4,2,0.04691668764158067,0.0030292565714234235,19865,932,0.0
"[0, 3, 0, 0]","[2, 1, 0, 0]","[0, 2, -1, 0]","[1, 1, 0, -1]",-1,1,0,0,24,4,2,0.05191609047228407,0.003430617664998227,17066,886,0.0
"[0, 3, 0, 0]","[2, 1, 0, 0]","[0, 2, -1, 0]","[1, 1, 0, -1]",1,-1,0,0,24,4,2,0.05269946563478902,0.004363965858299644,10854,572,0.0
"[0, 3, 0, 0]","[2, 1, 0, 0]","[0, 2, -1, 0]","[1, 1, 0, -1]",1,1,0,0,24,4,2,0.048714050424426704,0.003469352061579771,15786,769,0.0
"[0, 3, 0, 0]","[2, 1, 0, 0]","[1, 1, -1, 0]","[0, 2, 0, -1]",0,0,0,0,24,4,2,0.0696404793608522,0.005979711235872792,7510,523,0.0
"[0, 3, 0, 0]","[2, 1, 0, 0]","[1, 1, -1, 0]","[0, 2, 0, -1]",-1,-1,0,0,24,4,2,0.05590166694729753,0.006135029627289526,5939,332,0.0
"[0, 3, 0, 0]","[2, 1, 0, 0]","[1, 1, -1, 0]","[0, 2, 0, -1]",-1,1,0,0,24,4,2,0.061200437747285126,0.0044540182601845515,11879,727,0.0
"[0, 3, 0, 0]","[2, 1, 0, 0]","[1, 1, -1, 0]","[0, 2, 0, -1]",1,-1,0,0,24,4,2,0.04518156816523545,0.003149150627605575,17817,805,0.0
"[0, 3, 0, 0]","[2, 1, 0, 0]","[1, 1, -1, 0]","[0, 2, 0, -1]",1,1,0,0,24,4,2,0.045263157894736845,0.003971701698190562,11400,516,0.0
"[0, 3, 0, 0]","[2, 1, 0, 0]","[1, 1, -1, 0]","[1, 1, 0, -1]",0,0,0,0,24,4,2,0.052139552814186585,0.004445741429508411,10376,541,0.0
